RUCHE;LoAb;LoVA;LoVB;IC;LoAn;LaAn;LoAp;LaAP;LoFe;LoTi;LoMe;LaMe;LoTp;LoFa;LaBj;LoPl;LaTom;LoLan
Yakro;13,58333333;0,59492768;0,30272607;1,53493985;10,708494;3,78930782;7,39422139;2,14449459;3,14516404;3,36197658;2,38654619;1,55406631;8,90358156;3,33549703;1,91996332;0,19040385;1,89283202;5,63797347
Yakro;13,75;0,65029554;0,25586065;1,98502881;10,8615975;3,83077172;7,24088378;2,08400124;3,07802156;3,342278;2,48818507;1,64190684;8,91998363;3,27527658;1,61587974;0,19367039;2,1431209;7,45383451
Yakro;13,25;0,61066698;0,29660734;1,60818187;10,5107706;3,69964082;7,43659281;1,96108997;2,94804701;3,48923689;2,29822809;1,53379207;8,7421391;3,33410504;1,98046767;0,18360175;2,041235;5,34406883
Yakro;13,16666667;0,57867985;0,26229097;1,7233627;11,0229926;3,71273446;7,53003414;2,06908699;3,26556909;3,42130086;2,41302531;1,46622321;9,10601153;3,59747644;2,0006584;0,17980605;2,27095264;5,53272482
Yakro;13,41666667;0,58796049;0,27703586;1,65770352;10,8872173;3,81550276;7,35112483;2,06292273;2,8538558;3,40195057;2,60264932;1,65541642;8,86684814;3,44979857;2,07527651;0,18429825;2,44021148;5,74473372
Yakro;13,25;0,65439761;0,30831553;1,65790228;10,9913016;3,92960021;7,59222669;2,1436742;3,19146373;3,50276107;2,30498758;1,56757603;9,0060272;3,32057926;2,14269028;0,17724734;2,33187442;7,58993067
Yakro;14,08333333;0,56665287;0,33529292;1,31982976;11,1001873;3,81215621;7,67939022;2,1186138;3,11283004;3,38405573;2,34661778;1,48650358;8,85783248;3,3713724;2,23149981;0,17057991;2,33277065;5,54077393
Yakro;14;0,61117188;0,34156478;1,3974105;10,8337488;3,75080404;7,50872988;2,11165206;3,08552023;3,38376252;2,34651334;1,4865027;8,82934536;3,37103628;2,23140844;0,1705709;2,33268343;5,5400637
Yakro;13,08333333;0,58261491;0,26700305;1,7044966;10,8449299;3,81372731;7,60990616;2,10268999;3,2923372;3,5967655;2,18310941;1,53379013;9,07743465;3,44157932;1,95325996;0,17546997;2,1897596;5,96478496
Yakro;12,75;0;0,29523585;0;10,3901248;3,70376769;7,02323924;2,17619658;2,85869464;3,22370453;2,19620198;1,14865043;8,28041165;3,27112443;2,08806179;0,18826929;2,21643327;5,73841297
Yakro;13,25;0,58802076;0,27241043;1,68609312;10,9642294;3,93636372;7,81552748;2,1436742;3,16441743;3,78676872;2,59564584;1,48649451;9,55410249;3,46936285;1,72361521;0,18224975;2,06827122;7,39375599
Yakro;13,08333333;0,58183392;0,29588934;1,53603277;10,8652261;4,02334707;7,71813593;2,21086697;3,01515892;3,52915712;2,2709745;1,58108762;8,8203985;3,27254301;2,2033313;0,18790698;2,20327663;5,99859894
Yakro;13,83333333;0,61045128;0,31745359;1,50183301;11,4667839;4,0342671;7,77726928;2,21276565;3,16621755;3,77561874;2,52886791;1,62163737;9,48364596;3,43126818;2,10275963;0,18515994;2,31898565;5,91780351
Yakro;13,91666667;0,66115955;0,27920635;1,84936762;11,4756905;4,17010851;8,18508381;2,21297032;3,22736221;3,61354339;2,20440662;1,5608269;9,05831262;3,53990994;1,81209947;0,18408776;2,19737275;5,30910742
Yakro;13,75;0,64092753;0,27458216;1,8230398;11,3968852;3,83753987;7,94532897;2,17196233;2,91566438;3,42346694;2,48818507;1,50001366;8,83870815;3,52565929;2,07562795;0,17108453;2,27833358;7,64339615
Kkouassikro;11,83333333;0,58856625;0,27292533;1,68510198;11,1013417;3,84714521;7,24510748;2,2479543;3,20695812;3,54423956;2,20172714;1,70269265;8,94555236;3,3682776;1,79656495;0,18058072;2,32345957;5,91812039
Kkouassikro;10,75;0,55539332;0,33915848;1,28000085;10,7456806;3,8605299;7,36750548;2,19070776;3,00060803;3,59320649;2,02467076;1,34457374;8,59998745;3,27523951;1,84262183;0,18231576;2,24780281;6,92945193
Kkouassikro;11,25;0,58959223;0,30681114;1,50185414;10,9224004;3,88400739;7,72019028;2,2866771;3,25204777;3,51464085;2,30216059;1,37160659;9,05493842;3,41937281;2,12001751;0,18495461;2,18767787;5,78358698
Kkouassikro;10,83333333;0,6218447;0,31092045;1,56326955;10,983657;3,91498834;7,63824227;2,21119261;3,16950457;3,42505572;2,32175693;1,36484475;8,89788155;3,41720549;2,11946551;0,18489249;2,18715778;5,77887417
Kkouassikro;10,75;0,71575337;0,24438209;2,28931897;11,1760457;3,96832829;7,67027968;2,1637452;3,29055443;3,53927468;2,4161071;1,40538361;9,22580814;3,37632715;1,80212465;0,19162722;2,0047971;7,40084322
Kkouassikro;11,5;0,68173975;0,25036616;2,12793628;11,4082532;3,8990786;7,9202864;2,20647949;3,27323823;3,40779898;2,07971365;1,33106942;8,75007886;3,38015474;1,92451155;0,19552311;2,27577017;5,08495962
Kkouassikro;10,08333333;0,70282409;0,23052947;2,3835498;10,9928903;3,96363097;7,4957357;2,18854892;3,13281819;3,46861623;2,35423629;1,56753322;8,92813381;3,3659657;2,02396487;18,0323699;2,29412842;4,84189575
Kkouassikro;10,33333333;0,60721823;0,28373314;1,67302983;11,09524;3,93176486;7,52761503;2,22979374;2,94512733;3,42269362;2,40189707;1,26348892;8,74566306;3,40102442;1,99731617;0,18629867;2,34172176;5,90081876
Kkouassikro;10,83333333;0,55379377;0,26784583;1,61608574;10,7886013;4,17778446;7,53729633;2,2246755;3,2774026;3,37111784;2,40274845;1,71619093;9,03249397;3,56548659;1,97771782;0,18921115;2,19390827;5,40169823
Kkouassikro;11,16666667;0,61856218;0,3045009;1,58764196;11,22958;4,2475488;7,91395225;2,26618153;3,0290999;3,56147589;2,41004546;1,58781925;8,98580812;3,3515109;2,03889313;0,17765267;2,22808606;5,05477118
Kkouassikro;10,91666667;0,68203082;0,29756839;1,79146134;10,9324369;4,03011178;7,71387692;2,28561817;3,27098982;3,39846697;2,4163859;1,37835912;9,0679744;3,44460911;1,90356967;0,17680707;2,37628613;5,48342918
Kkouassikro;11,66666667;0,55502078;0,2745544;1,57970444;11,1234429;4,12953527;7,96384664;2,21371761;2,85534592;3,55700471;2,39733125;1,37161157;8,80059699;3,42821105;1,95846934;0,18366401;2,39754198;5,75440164
Kkouassikro;12;0,62601261;0,28771652;1,70009395;10,8969725;3,88189639;7,67976675;2,15390959;3,18053929;3,39641252;2,39108334;1,35810199;8,96234098;3,30830436;2,02639662;0,1834399;2,04671594;6,11566378
Kkouassikro;10,75;0,52957927;0,37048952;1,11729366;10,4968757;3,58429652;7,30695064;2,15026392;2,57580285;3,33028894;2,1326532;1,45268017;8,02127155;3,35610962;2,02485916;0,1774576;2,17355106;5,97320103
Kkouassikro;10,33333333;0,54227092;0,3338959;1,26962121;10,8601714;3,95196229;7,36630899;2,16242837;3,24166189;3,62482119;2,16575551;1,35808168;9,00783128;3,40775912;1,72066089;0,17267364;2,3619672;5,35581725
Kkouassikro;11;0,64914023;0,29518168;1,71881236;11,0426738;3,78128897;7,4192416;2,17125441;3,31178809;3,47302544;2,38952346;1,56079019;9,1573214;3,42482387;1,95092377;0,16872045;2,48441816;5,51801749
